stableEdge,priv_auto,on_demand,carpool,walking,biking,total,direction,streetName,Year,Type,yearbinary,treatment
"14625387562331102282",1564,6,290,60,36,2627,NW,East Capitol Street,2019,Controls,0,0
"4249856494152575072",40068,545,6941,37,0,49478,NW,Southeast Freeway,2019,Controls,0,0
"2787475808444508281",32450,395,5294,0,0,39248,NW,Southeast Boulevard Southeast,2019,Controls,0,0
"7762270056579600290",42354,1187,28596,36,0,72997,NW,Center Leg Freeway,2019,Controls,0,0
"593744076058055621",18655,824,8671,66,0,29493,NW,12th Street Expressway,2019,Controls,0,0
"620963224349264843",27681,340,4436,0,0,33546,NW,Southeast Freeway,2019,Controls,0,0
"8661404032030102276",42354,1187,28596,207,0,73168,NW,Center Leg Freeway,2019,Controls,0,0
"5813250796556106099",40065,545,6941,34,0,47870,NW,Southeast Freeway,2019,Controls,0,0
"6811693667104612745",40065,545,6941,60,0,47896,NW,Southeast Freeway,2019,Controls,0,0
"14589573599139196964",32450,395,5294,0,0,39248,NW,Southeast Boulevard Southeast,2019,Controls,0,0
"15668740556602268043",14191,459,6374,0,0,22042,NW,I 66,2019,Controls,0,0
"8965201792052114047",27681,340,4436,37,0,33582,NW,Southeast Freeway,2019,Controls,0,0
"14278801625319486448",2597,126,546,0,0,3306,NW,US 50,2019,Controls,0,0
"6382725501501144394",27681,340,4436,37,0,33582,NW,Southeast Freeway,2019,Controls,0,0
"11842397407098321830",26361,922,14529,341,0,43586,NW,Potomac Freeway,2019,Controls,0,0
"17506700134683785500",40095,545,6942,37,0,49506,NW,Southeast Freeway,2019,Controls,0,0
"15885455115065246011",552,40,159,0,0,775,NW,US 50,2019,Controls,0,0
"5643965984326933575",26361,922,14529,269,0,43561,NW,Potomac Freeway,2019,Controls,0,0
"15611188874189094309",40065,545,6941,0,89,47925,NW,Southeast Freeway,2019,Controls,0,0
"15200449075332228187",40065,545,6941,0,89,47925,NW,Southeast Freeway,2019,Controls,0,0
"6509113820725226816",41960,643,7499,0,0,51605,NW,Southeast Freeway,2019,Controls,0,0
"12392724683277880671",13285,478,3561,178,0,17763,NW,12th Street Expressway,2019,Controls,0,0
"7477779307686263750",36487,1123,25610,0,2,64209,NW,Potomac Freeway,2019,Controls,0,0
"3365818778752840629",40065,545,6941,34,0,47870,NW,Southeast Freeway,2019,Controls,0,0
"16561988619326948799",40068,545,6941,37,0,49478,NW,Southeast Freeway,2019,Controls,0,0
"11306374826151805447",32558,920,18250,46,929,53121,NW,Maine Avenue Southwest,2019,Controls,0,0
"7512449611685488505",45832,1494,32312,42,143,81137,NW,Independence Avenue Southwest,2019,Controls,0,0
"261952886895666604",45832,1494,32312,42,143,81137,NW,Independence Avenue Southwest,2019,Controls,0,0
"15659305982746196877",32453,917,18205,57,83,52125,NW,Maine Avenue Southwest,2019,Controls,0,0
"5797929541806062321",11008,444,3548,18,390,15414,NW,Rock Creek and Potomac Parkway Northwest,2019,Controls,0,0
